%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1728033268085189952,742,1728033268084823954,gps,0,1,36.1682141,128.46813369999998,122.613,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033268189051572,743,1728033268188599972,gps,0,1,36.1682142,128.46813369999998,122.61500000000001,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033268284729116,744,1728033268284256773,gps,0,1,36.1682142,128.46813369999998,122.61800000000001,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033268385843627,745,1728033268385270644,gps,0,1,36.1682142,128.4681336,122.623,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033268485680512,746,1728033268485309522,gps,0,1,36.168214299999995,128.4681336,122.62,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033268585661926,747,1728033268585175485,gps,0,1,36.168214299999995,128.4681336,122.628,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033268685536224,748,1728033268685107275,gps,0,1,36.168214299999995,128.4681336,122.62700000000001,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033268785881217,749,1728033268785356615,gps,0,1,36.1682144,128.4681336,122.631,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033268886495334,750,1728033268885983679,gps,0,1,36.1682144,128.4681336,122.633,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.617796,2
1728033268985169214,751,1728033268984500472,gps,0,1,36.1682144,128.4681336,122.64,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.617796,2
1728033269085844394,752,1728033269085292758,gps,0,1,36.1682144,128.4681336,122.633,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.617796,2
1728033269187846217,753,1728033269187381830,gps,0,1,36.1682144,128.4681336,122.638,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.617796,2
1728033269285656180,754,1728033269285162020,gps,0,1,36.1682144,128.4681336,122.64,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.617796,2
1728033269386248587,755,1728033269385917481,gps,0,1,36.1682145,128.4681336,122.642,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.617796,2
1728033269485771985,756,1728033269485172801,gps,0,1,36.1682145,128.4681336,122.647,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.617796,2
1728033269585757593,757,1728033269585246449,gps,0,1,36.1682145,128.4681335,122.645,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.617796,2
1728033269686143228,758,1728033269685608994,gps,0,1,36.1682146,128.4681335,122.647,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.617796,2
1728033269785618455,759,1728033269785211853,gps,0,1,36.1682146,128.4681335,122.652,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033269886437801,760,1728033269885950349,gps,0,1,36.1682146,128.4681335,122.652,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033269985655965,761,1728033269985216534,gps,0,1,36.1682146,128.4681335,122.658,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270084705395,762,1728033270084224763,gps,0,1,36.1682147,128.4681335,122.653,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270188814036,763,1728033270188262493,gps,0,1,36.1682147,128.4681335,122.661,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270285970614,764,1728033270285469984,gps,0,1,36.1682147,128.4681335,122.656,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270385371031,765,1728033270385030697,gps,0,1,36.1682147,128.4681335,122.658,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270485470375,766,1728033270484936467,gps,0,1,36.1682148,128.4681334,122.668,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270586179731,767,1728033270585784908,gps,0,1,36.168214899999995,128.4681334,122.659,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270685442648,768,1728033270685001741,gps,0,1,36.168215,128.4681334,122.678,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270785162943,769,1728033270784689862,gps,0,1,36.1682151,128.4681334,122.666,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270886200224,770,1728033270885626815,gps,0,1,36.1682152,128.4681334,122.676,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270984101940,771,1728033270983560218,gps,0,1,36.1682152,128.4681334,122.68,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.616225,2
1728033271084883867,772,1728033271084403060,gps,0,1,36.1682152,128.4681334,122.679,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.616225,2
1728033271188864387,773,1728033271188271882,gps,0,1,36.1682154,128.4681334,122.67,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.616225,2
1728033271285886833,774,1728033271285358210,gps,0,1,36.1682154,128.4681334,122.675,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.616225,2
1728033271385541275,775,1728033271385207429,gps,0,1,36.168215499999995,128.4681333,122.684,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.616225,2
1728033271486505025,776,1728033271486059485,gps,0,1,36.168215599999996,128.4681334,122.675,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.616225,2
1728033271585555525,777,1728033271585088661,gps,0,1,36.168215499999995,128.4681333,122.70100000000001,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033271685760457,778,1728033271685215034,gps,0,1,36.168215499999995,128.46813319999998,122.70100000000001,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033271785719105,779,1728033271785359888,gps,0,1,36.168215499999995,128.4681333,122.71000000000001,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033271884898569,780,1728033271884532506,gps,0,1,36.1682157,128.4681333,122.696,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033271985212544,781,1728033271984792434,gps,0,1,36.1682158,128.4681333,122.697,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033272085620761,782,1728033272085286623,gps,0,1,36.1682159,128.46813319999998,122.699,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033272188495658,783,1728033272188080769,gps,0,1,36.168216,128.4681333,122.705,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033272285867005,784,1728033272285350804,gps,0,1,36.168216,128.46813319999998,122.69200000000001,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.6193690000000001,2
1728033272386289078,785,1728033272385791738,gps,0,1,36.168216,128.4681333,122.68,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.6193690000000001,2
1728033272485688501,786,1728033272485170408,gps,0,1,36.168216099999995,128.4681333,122.693,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.6193690000000001,2
1728033272586534535,787,1728033272586120143,gps,0,1,36.168216199999996,128.4681333,122.687,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.620944,2
1728033272685994704,788,1728033272685497828,gps,0,1,36.1682159,128.46813319999998,122.683,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.620944,2
1728033272785687017,789,1728033272785178088,gps,0,1,36.1682159,128.46813319999998,122.69500000000001,0.37088099999999996,0.0,0.0,0.0,0.37088099999999996,0.0,0.0,0.0,0.620944,2
1728033272886494930,790,1728033272886027736,gps,0,1,36.1682159,128.4681333,122.697,0.37088099999999996,0.0,0.0,0.0,0.37088099999999996,0.0,0.0,0.0,0.6225210000000001,2
1728033272986680927,791,1728033272986161504,gps,0,1,36.168216199999996,128.46813319999998,122.7,0.37088099999999996,0.0,0.0,0.0,0.37088099999999996,0.0,0.0,0.0,0.6225210000000001,2
1728033273086893640,792,1728033273086274894,gps,0,1,36.168216099999995,128.4681333,122.71300000000001,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.6225210000000001,2
1728033273189914771,793,1728033273189398931,gps,0,1,36.168216199999996,128.46813319999998,122.718,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.6225210000000001,2
1728033273286860335,794,1728033273286403428,gps,0,1,36.168216199999996,128.46813319999998,122.72800000000001,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.6225210000000001,2
1728033273386669172,795,1728033273386213892,gps,0,1,36.1682163,128.46813319999998,122.72200000000001,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.6225210000000001,2
1728033273486808656,796,1728033273486197963,gps,0,1,36.1682163,128.46813319999998,122.71900000000001,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.6225210000000001,2
1728033273587540345,797,1728033273587166848,gps,0,1,36.1682163,128.46813319999998,122.717,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.6225210000000001,2
1728033273685755171,798,1728033273685324470,gps,0,1,36.1682163,128.4681331,122.723,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.6225210000000001,2
1728033273786606977,799,1728033273786148991,gps,0,1,36.168216199999996,128.4681331,122.718,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.6241000000000001,2
1728033273887859617,800,1728033273887326946,gps,0,1,36.168216099999995,128.46813319999998,122.718,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.6241000000000001,2
1728033273986641759,801,1728033273986154345,gps,0,1,36.168216199999996,128.46813319999998,122.706,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.6241000000000001,2
1728033274086406029,802,1728033274086008914,gps,0,1,36.168216199999996,128.4681333,122.697,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.6241000000000001,2
1728033274190667728,803,1728033274190208097,gps,0,1,36.168216199999996,128.4681333,122.673,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.6241000000000001,2
1728033274288125201,804,1728033274287718169,gps,0,1,36.168216199999996,128.4681334,122.674,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.6241000000000001,2
1728033274388820838,805,1728033274388426673,gps,0,1,36.168216099999995,128.4681335,122.686,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.6241000000000001,2
1728033274487992128,806,1728033274487649442,gps,0,1,36.168216099999995,128.4681333,122.675,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.6241000000000001,2
1728033274585863737,807,1728033274585640172,gps,0,1,36.168216199999996,128.4681334,122.652,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.6241000000000001,2
1728033274686633340,808,1728033274686200285,gps,0,1,36.168216199999996,128.4681334,122.673,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.6241000000000001,2
1728033274788522550,809,1728033274788137291,gps,0,1,36.1682164,128.4681334,122.675,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.6225210000000001,2
1728033274886408543,810,1728033274886016703,gps,0,1,36.168216699999995,128.4681333,122.663,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.6225210000000001,2
1728033274986620798,811,1728033274986219942,gps,0,1,36.168217,128.4681333,122.666,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.6225210000000001,2
1728033275085873660,812,1728033275085412639,gps,0,1,36.168217399999996,128.4681333,122.668,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.6225210000000001,2
1728033275190035792,813,1728033275189422982,gps,0,1,36.1682177,128.4681333,122.664,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.6225210000000001,2
1728033275287014205,814,1728033275286489198,gps,0,1,36.1682182,128.4681333,122.666,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.6225210000000001,2
1728033275386951876,815,1728033275386452554,gps,0,1,36.168218599999996,128.4681333,122.669,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.6225210000000001,2
1728033275486612283,816,1728033275486140437,gps,0,1,36.1682189,128.4681333,122.662,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.6225210000000001,2
1728033275586940688,817,1728033275586595436,gps,0,1,36.1682195,128.4681333,122.66,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.6225210000000001,2
1728033275688452703,818,1728033275688118907,gps,0,1,36.168219799999996,128.4681334,122.62400000000001,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.620944,2
1728033275786280018,819,1728033275785847398,gps,0,1,36.1682203,128.4681334,122.62700000000001,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.620944,2
1728033275886718623,820,1728033275886205158,gps,0,1,36.1682206,128.4681334,122.62100000000001,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.620944,2
1728033275987838805,821,1728033275987405468,gps,0,1,36.1682209,128.4681335,122.605,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.620944,2
1728033276087543439,822,1728033276087211296,gps,0,1,36.1682213,128.4681335,122.599,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.620944,2
1728033276188937670,823,1728033276188446840,gps,0,1,36.1682217,128.4681336,122.586,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.620944,2
1728033276288455373,824,1728033276287918049,gps,0,1,36.1682221,128.46813369999998,122.58,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.620944,2
1728033276385211776,825,1728033276384699452,gps,0,1,36.1682226,128.4681338,122.584,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.620944,2
1728033276487726601,826,1728033276487291542,gps,0,1,36.168223,128.46813369999998,122.552,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.620944,2
1728033276587421522,827,1728033276586843327,gps,0,1,36.168223399999995,128.4681339,122.551,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.620944,2
1728033276686981415,828,1728033276686475206,gps,0,1,36.1682239,128.4681339,122.532,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.620944,2
1728033276786805992,829,1728033276786421879,gps,0,1,36.1682244,128.4681339,122.507,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.620944,2
1728033276887933848,830,1728033276887471631,gps,0,1,36.1682249,128.468134,122.501,0.37088099999999996,0.0,0.0,0.0,0.37088099999999996,0.0,0.0,0.0,0.620944,2
1728033276986816765,831,1728033276986359799,gps,0,1,36.168225299999996,128.4681341,122.474,0.37088099999999996,0.0,0.0,0.0,0.37088099999999996,0.0,0.0,0.0,0.620944,2
1728033277086327971,832,1728033277085838733,gps,0,1,36.168226,128.4681341,122.45400000000001,0.37088099999999996,0.0,0.0,0.0,0.37088099999999996,0.0,0.0,0.0,0.620944,2
1728033277191084077,833,1728033277190584586,gps,0,1,36.1682264,128.46813419999998,122.446,0.37088099999999996,0.0,0.0,0.0,0.37088099999999996,0.0,0.0,0.0,0.620944,2
