latitude,longitude,altitude,orientation_x,orientation_y,orientation_z,orientation_w
36.168215499999995,128.4681333,122.71000000000001,0.0013555731910107754,4.561652407818808e-05,0.1683604377440872,0.9857245676876863
36.16824,128.4681355,121.992,-0.0030523658016375125,0.006160137628995732,0.1695990569538997,0.9854891656673617
36.1682707,128.4681344,121.935,-0.0001015689517247418,0.000993479158729848,0.18824684196479366,0.9821212395489628
36.1683016,128.4681339,121.687,-0.00464426522942974,0.004123331446305523,0.17201306733821442,0.9850750903373617
36.1683264,128.4681339,121.31700000000001,-0.0030582822965759936,0.003274309626155478,0.175889436027212,0.9843997318670378
36.1683485,128.4681326,121.068,0.002779238385339466,0.0009767950903688785,0.1911238863223173,0.9815615017829513
36.1683806,128.4681315,120.779,-0.00046108617997868894,0.00459779368473567,0.1746587371698426,0.9846181865185119
36.168413699999995,128.46813029999998,120.528,-0.0004167232132453605,0.003058776659187827,0.1991269329519268,0.979968843790593
36.1684483,128.46812889999998,120.342,-0.004984283385305285,0.0025516984627671708,0.1830283347077193,0.9830916917806848
36.168483699999996,128.4681287,120.10600000000001,-0.0012256500488246219,0.001411531790021543,0.1855391610306041,0.9826350925364019
36.1684987,128.46812889999998,119.98,0.0009218755381383355,0.0011168856384123937,0.17128311034508018,0.9852207868404309
36.168526899999996,128.4681287,119.876,0.002915080061322352,0.004490592788234768,0.17071750530656757,0.985305470535178
36.168552399999996,128.468128,119.84400000000001,0.0025799043011787716,-0.0005447327122437217,0.18487086680704118,0.9827592838361194
36.1685808,128.468128,119.84,0.0014483951272731784,-0.00770382535377728,0.160644369242005,0.9869812256863412
36.1686072,128.4681285,119.807,-0.005944036556463025,-0.008948917577587865,0.18925922161320102,0.9818683885012135
36.168634,128.46812789999998,119.762,-0.019171627633394375,-0.005582688332201007,0.18721270323464656,0.9821164320142739
36.1686658,128.4681281,119.70400000000001,0.001305983357631475,0.04673975840912002,0.16339513006523806,0.9854520388442508
36.1687051,128.4681296,119.70400000000001,0.02346008451556443,0.04337843511226855,0.18411533774795355,0.981666683863566
36.168752,128.4681301,119.795,0.01932566998777454,0.004362439147576056,0.17479904353355522,0.9844047856364584
36.1687879,128.4681302,120.06400000000001,0.024039213021925493,0.011876191288762257,0.1637502715919469,0.9861373742391691
36.168835099999995,128.4681321,120.13,0.053250791476493295,0.053352493630392676,0.197356466587327,0.9774294295378624
