%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1728111968281798891,2328,1728111969899535828,gps,0,1,37.288933,127.1070695,107.093,0.058564,0.0,0.0,0.0,0.058564,0.0,0.0,0.0,0.21808900000000003,2
1728111968385535131,2329,1728111969999535803,gps,0,1,37.288933,127.1070695,107.07000000000001,0.058564,0.0,0.0,0.0,0.058564,0.0,0.0,0.0,0.21622500000000003,2
1728111968482562783,2330,1728111970099535777,gps,0,1,37.288933,127.1070694,107.065,0.058564,0.0,0.0,0.0,0.058564,0.0,0.0,0.0,0.21436900000000003,2
1728111968584020158,2331,1728111970199535751,gps,0,1,37.2889331,127.1070694,107.035,0.058080999999999994,0.0,0.0,0.0,0.058080999999999994,0.0,0.0,0.0,0.21252100000000002,2
1728111968681825534,2332,1728111970299535726,gps,0,1,37.288933,127.1070694,107.029,0.058080999999999994,0.0,0.0,0.0,0.058080999999999994,0.0,0.0,0.0,0.210681,2
1728111968782792861,2333,1728111970399535700,gps,0,1,37.2889329,127.1070694,107.045,0.058080999999999994,0.0,0.0,0.0,0.058080999999999994,0.0,0.0,0.0,0.208849,2
1728111968882603399,2334,1728111970499535675,gps,0,1,37.2889329,127.10706929999999,107.024,0.058080999999999994,0.0,0.0,0.0,0.058080999999999994,0.0,0.0,0.0,0.20702500000000001,2
1728111968982208644,2335,1728111970599535649,gps,0,1,37.2889329,127.10706929999999,107.019,0.058080999999999994,0.0,0.0,0.0,0.058080999999999994,0.0,0.0,0.0,0.205209,2
1728111969081485106,2336,1728111970699535624,gps,0,1,37.2889329,127.10706929999999,107.005,0.0576,0.0,0.0,0.0,0.0576,0.0,0.0,0.0,0.203401,2
1728111969181534453,2337,1728111970799535598,gps,0,1,37.2889328,127.1070692,106.99600000000001,0.0576,0.0,0.0,0.0,0.0576,0.0,0.0,0.0,0.201601,2
1728111969281101229,2338,1728111970899535572,gps,0,1,37.2889328,127.1070692,106.98,0.0576,0.0,0.0,0.0,0.0576,0.0,0.0,0.0,0.20070400000000002,2
1728111969385687243,2339,1728111970999535548,gps,0,1,37.2889328,127.1070692,106.968,0.0576,0.0,0.0,0.0,0.0576,0.0,0.0,0.0,0.198916,2
1728111969481323810,2340,1728111971099535521,gps,0,1,37.2889328,127.10706909999999,106.959,0.0576,0.0,0.0,0.0,0.0576,0.0,0.0,0.0,0.198025,2
1728111969580345051,2341,1728111971199535496,gps,0,1,37.2889328,127.10706909999999,106.94800000000001,0.057121,0.0,0.0,0.0,0.057121,0.0,0.0,0.0,0.196249,2
1728111969681420930,2342,1728111971299535470,gps,0,1,37.2889328,127.107069,106.938,0.057121,0.0,0.0,0.0,0.057121,0.0,0.0,0.0,0.19448100000000001,2
