%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1728111965223360114,22270,1728111965222962865,/map,0.018659319908503127,-0.0030621568055242206,0.0038189236362954617,0.9998139170858299,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,-0.0010297442586766543,-0.004206243497306334,0.004101523742186674,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.392266,-0.2745862,9.77723005,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111965233461566,22271,1728111965233220963,/map,0.018650621607352442,-0.003062027374542589,0.0038276219374461505,0.9998140465168115,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,-0.0027052603405912107,0.0032114058236695662,0.0017976891295541594,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.4118793,-0.32361945,9.7674234,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111965244093947,22272,1728111965243573154,/map,0.018633171557493264,-0.0030620941786815422,0.0038275684944037015,0.9998143718792856,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,0.007487462491055674,0.0016406094968746698,0.000767944870877505,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.392266,-0.2745862,9.77723005,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111965254266910,22273,1728111965253794972,/map,0.018633177141759976,-0.0030709818140149427,0.0038190058670066395,0.9998143772593439,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,0.0069638637154573755,0.001832595714594046,0.0032114058236695662,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.37265269999999995,-0.26477955,9.845876599999999,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111965264489937,22274,1728111965264107929,/map,0.01861570028546846,-0.003071210920521948,0.0038102272383031045,0.9998147356059301,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,0.00013962634015954637,0.010262536001726658,-0.0005410520681182421,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.45110589999999995,-0.16671305,9.8654899,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111965274606253,22275,1728111965274211248,/map,0.018606836110434725,-0.003063168639000026,0.0037751381388130027,0.9998150583882408,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,-0.007138396640656807,0.004799655442984407,-0.0030543261909900766,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.4118793,-0.17651969999999997,9.826263299999999,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111965284972524,22276,1728111965284623355,/map,0.018597977402299154,-0.003064013075944679,0.0037314862351172803,0.999815384494003,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,0.001308996938995747,-0.0018675022996339325,-0.009704030641088473,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.40207265,-0.17651969999999997,9.7870367,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111965295327266,22277,1728111965294950598,/map,0.018624076780379775,-0.0030732905241617034,0.00369682864988663,0.9998149989409871,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,0.007539822368615503,-0.0006283185307179586,-0.0032288591161895096,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.38245935,-0.1372931,9.836069949999999,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111965305512888,22278,1728111965305171723,/map,0.0186414195540028,-0.0030738767120313017,0.0036619821701839666,0.9998148021736607,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,0.0014660765716752368,0.0038222710618675817,-0.01551597705022959,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.32361945,-0.08825984999999999,9.81645665,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111965315671242,22279,1728111965315362656,/map,0.018658838675838754,-0.003065087766851599,0.0036618731869835393,0.9998145046262397,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,0.002076941809873252,0.004380776422505767,0.004921828490624009,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.32361945,0.0980665,9.81645665,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
